mode,nodes,gateways,sources,area,range,speedMin,speedMax,pause,simTime,advInterval,advZone,entryLifetime,packetSize,cbrRate,seed,offered,sent,relayed,received,pdr,txPdr,gwAvail,delay_ms,noGateway,advSent,advFwd,solSent,solFwd,replies,control,gw0,gw1,malicious,droppedByMalicious,areaHeight
hybrid,15,2,5,800,250,2,2,60,900,5,3,15,512,5,2,22347,22334,21741,21741,97.2882,97.3449,99.9418,8.2104,13,360,2536,13,111,12,3032,10908,10833,0,0,500
hybrid,15,2,5,800,250,2,2,60,900,5,3,15,512,5,3,22346,22344,22065,22065,98.7425,98.7513,99.991,4.57803,2,360,2546,2,30,4,2942,9784,12281,0,0,500
hybrid,15,2,5,800,250,2,2,60,900,5,3,15,512,5,4,22344,22332,22248,22248,99.5704,99.6239,99.9463,5.16298,12,360,2418,12,163,12,2965,7675,14573,0,0,500
hybrid,15,2,5,800,250,2,2,60,900,5,3,15,512,5,5,22346,22346,22283,22283,99.7181,99.7181,100,4.80189,0,360,2548,0,0,0,2908,10413,11870,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,1,22349,22346,22041,22041,98.6219,98.6351,99.9866,4.5626,3,360,2515,3,38,4,2920,10008,12033,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,2,22347,22338,21936,21936,98.1608,98.2004,99.9597,20.286,9,360,2559,9,129,12,3069,11672,10264,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,3,22346,22342,22052,22052,98.6843,98.702,99.9821,6.20124,4,360,2521,4,54,6,2945,10079,11973,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,4,22344,22343,22006,22006,98.4873,98.4917,99.9955,5.90357,1,360,2596,1,9,1,2967,8820,13186,0,0,500
hybrid,15,2,5,800,250,3,3,60,900,5,3,15,512,5,5,22346,22345,22134,22134,99.0513,99.0557,99.9955,4.78091,1,360,2575,1,10,1,2947,13827,8307,0,0,500
hybrid,15,2,5,800,250,4,4,60,900,5,3,15,512,5,1,22349,22347,22076,22076,98.7785,98.7873,99.9911,4.81195,2,360,2425,2,23,3,2813,10609,11467,0,0,500
hybrid,15,2,5,800,250,4,4,60,900,5,3,15,512,5,2,22347,22345,22058,22058,98.7068,98.7156,99.9911,4.26564,2,360,2629,2,30,4,3025,11398,10660,0,0,500
hybrid,15,2,5,800,250,4,4,60,900,5,3,15,512,5,3,22346,22344,22037,22037,98.6172,98.626,99.991,7.75787,2,360,2541,2,30,4,2937,9320,12717,0,0,500
hybrid,15,2,5,800,250,4,4,60,900,5,3,15,512,5,4,22344,22343,21419,21419,95.8602,95.8645,99.9955,4.87611,1,360,2515,1,9,1,2886,8488,12931,0,0,500
hybrid,15,2,5,800,250,4,4,60,900,5,3,15,512,5,5,22346,22346,22032,22032,98.5948,98.5948,100,4.92876,0,360,2479,0,0,0,2839,13128,8904,0,0,500
hybrid,15,2,5,800,250,5,5,60,900,5,3,15,512,5,1,22349,22345,22210,22210,99.378,99.3958,99.9821,4.82932,4,360,2487,4,53,5,2909,8748,13462,0,0,500
hybrid,15,2,5,800,250,5,5,60,900,5,3,15,512,5,2,22347,22346,21982,21982,98.3667,98.3711,99.9955,4.97112,1,360,2605,1,15,2,2983,12256,9726,0,0,500
hybrid,15,2,5,800,250,5,5,60,900,5,3,15,512,5,3,22346,22343,21844,21844,97.7535,97.7666,99.9866,5.76263,3,360,2563,3,45,6,2977,9800,12044,0,0,500
hybrid,15,2,5,800,250,5,5,60,900,5,3,15,512,5,4,22344,22341,22168,22168,99.2123,99.2256,99.9866,6.80113,3,360,2588,3,33,3,2987,8660,13508,0,0,500
hybrid,15,2,5,800,250,5,5,60,900,5,3,15,512,5,5,22346,22329,22092,22092,98.8633,98.9386,99.9239,4.77735,17,360,2539,17,30,4,2950,13002,9090,0,0,500
hybrid,15,2,5,800,250,6,6,60,900,5,3,15,512,5,1,22349,22347,21588,21588,96.5949,96.6036,99.9911,4.90328,2,360,2441,2,23,3,2829,6877,14711,0,0,500
hybrid,15,2,5,800,250,6,6,60,900,5,3,15,512,5,2,22347,22345,21861,21861,97.8252,97.834,99.9911,17.3576,2,360,2665,2,30,4,3061,10596,11265,0,0,500
hybrid,15,2,5,800,250,6,6,60,900,5,3,15,512,5,3,22346,22227,21751,21751,97.3373,97.8585,99.4675,4.76487,119,360,2537,119,88,11,3115,12072,9679,0,0,500
hybrid,15,2,5,800,250,6,6,60,900,5,3,15,512,5,4,22344,22280,21960,21960,98.2814,98.5637,99.7136,7.08864,64,360,2518,64,339,30,3311,8626,13334,0,0,500
hybrid,15,2,5,800,250,6,6,60,900,5,3,15,512,5,5,22346,22338,22222,22222,99.4451,99.4807,99.9642,6.37879,8,360,2607,8,116,15,3106,12839,9383,0,0,500
